Drug_PubChemCID,Drug_ChemicalID,Drug_Name,Ref_Database,Gene Symbol,Target_EntrezID
449193,NA,NA,TTD,SLC6A2,6530
9926832,NA,NA,TTD,GRM5,2915
10975968,NA,NA,DrugBank,MAN2A1,4124
5284537,2098-66-0,Cyproterone,KEGG,AR,367
11979378,NA,NA,KEGG,SSTR5,6755
11979378,NA,NA,KEGG,SSTR1,6751
11979378,NA,NA,KEGG,SSTR4,6754
11979378,NA,NA,KEGG,SSTR2,6752
11979378,NA,NA,KEGG,SSTR3,6753
65856,NA,NA,DrugBank|TTD,SLC6A2,6530
46936252,NA,NA,DrugBank,FGF1,2246
9910819,NA,NA,KEGG,VDR,7421
9818802,NA,NA,TTD,CRHR1,1394
56603686,NA,NA,TTD,PYGM,5837
5831,NA,NA,KEGG,CHRM5,1133
5831,NA,NA,KEGG,CHRM1,1128
5831,NA,NA,KEGG,CHRM4,1132
5831,NA,NA,TTD,CHRNA2,1135
5831,NA,NA,KEGG,CHRM2,1129
5831,NA,NA,KEGG,CHRM3,1131
10379137,NA,NA,DrugBank,HDAC8,55869
20629114,NA,NA,TTD,NPY5R,4889
9926933,NA,NA,DrugBank,CDK2,1017
4358,NA,NA,DrugBank,EPHX2,2053
2754,73963-72-1,Cilostazol,KEGG,PDE3B,5140
2754,73963-72-1,Cilostazol,DrugBank|KEGG|TTD,PDE3A,5139
11256720,NA,NA,TTD,HTR6,3362
22849387,NA,NA,TTD,CHRNA7,1139
22849387,NA,NA,TTD,CHRFAM7A,89832
5287429,NA,NA,DrugBank,CASP3,836
24856436,NA,NA,TTD,WEE1,7465
3033538,NA,NA,KEGG,ADRA2C,152
3033538,NA,NA,DrugBank|KEGG,ADRA1B,147
3033538,NA,NA,DrugBank|KEGG,ADRA1D,146
3033538,NA,NA,KEGG,ADRA2B,151
3033538,NA,NA,DrugBank|KEGG,ADRA1A,148
3033538,NA,NA,KEGG,ADRA2A,150
145068,10102-43-9,Nitric Oxide,DrugBank,GUCY1A2,2977
56971,NA,NA,TTD,GPR119,139760
46936234,NA,NA,DrugBank,RNASE1,6035
6438382,NA,NA,TTD,HTR2C,3358
6438382,NA,NA,TTD,HTR2A,3356
4977,NA,NA,KEGG,PDE4A,5141
4977,NA,NA,KEGG,PDE1B,5153
4977,NA,NA,KEGG,PDE1C,5137
4977,NA,NA,KEGG,PDE4B,5142
4977,NA,NA,KEGG,PDE8A,5151
4977,NA,NA,KEGG,PDE7B,27115
4977,NA,NA,KEGG,PDE2A,5138
4977,NA,NA,KEGG,PDE3B,5140
4977,NA,NA,KEGG,PDE4C,5143
4977,NA,NA,KEGG,PDE3A,5139
4977,NA,NA,KEGG,PDE11A,50940
4977,NA,NA,KEGG,PDE8B,8622
4977,NA,NA,KEGG,PDE1A,5136
4977,NA,NA,KEGG,ADORA1,134
4977,NA,NA,KEGG,PDE10A,10846
4977,NA,NA,KEGG,ADORA2A,135
4977,NA,NA,KEGG,PDE7A,5150
4977,NA,NA,KEGG,PDE4D,5144
66124,NA,NA,KEGG,SLC6A3,6531
66124,NA,NA,KEGG,SLC6A4,6532
66124,NA,NA,KEGG,SLC6A2,6530
35330,30392-40-6,bitolterol,DrugBank|KEGG,ADRB2,154
60464,NA,NA,TTD,TOP2B,7155
60464,NA,NA,DrugBank|TTD,TOP2A,7153
9810217,NA,NA,TTD,TACR2,6865
46936748,NA,NA,DrugBank,CMPK1,51727
6420119,NA,NA,DrugBank,EPHX2,2053
4293,NA,NA,DrugBank,CA2,760
449974,NA,NA,TTD,ADRB2,154
5362123,NA,NA,KEGG,ACE,1636
52918379,NA,NA,KEGG,UGCG,7357
11574606,NA,NA,DrugBank,CCNA2,890
11574606,NA,NA,DrugBank,CDK2,1017
46936900,NA,NA,DrugBank,F2,2147
49659,NA,NA,KEGG,DRD1,1812
91499,NA,NA,KEGG,DRD2,1813
3082221,NA,NA,KEGG,DRD2,1813
5326608,NA,NA,DrugBank,F2,2147
3475,21187-98-4,Gliclazide,KEGG,ABCC8,6833
44141860,NA,NA,DrugBank,F2,2147
44141860,NA,NA,DrugBank,PRSS1,5644
5401,63590-64-7,Terazosin,DrugBank,KCNH7,90134
5401,63590-64-7,Terazosin,DrugBank,KCNH2,3757
5401,63590-64-7,Terazosin,DrugBank,KCNH6,81033
5401,63590-64-7,Terazosin,DrugBank|KEGG,ADRA1B,147
5401,63590-64-7,Terazosin,DrugBank|KEGG|TTD,ADRA1D,146
5401,63590-64-7,Terazosin,DrugBank|KEGG,ADRA1A,148
8193,112-53-8,Dodecanol,DrugBank,FAAH,2166
6119063,NA,NA,DrugBank,PRSS1,5644
5531,NA,NA,KEGG,PDE4A,5141
5531,NA,NA,KEGG,PDE1B,5153
5531,NA,NA,KEGG,PDE1C,5137
5531,NA,NA,KEGG,PDE4B,5142
5531,NA,NA,KEGG,TBXAS1,6916
5531,NA,NA,KEGG,PDE8A,5151
5531,NA,NA,KEGG,PDE7B,27115
5531,NA,NA,KEGG,PDE2A,5138
5531,NA,NA,KEGG,PDE3B,5140
5531,NA,NA,KEGG,PDE4C,5143
5531,NA,NA,KEGG,PDE3A,5139
5531,NA,NA,KEGG,PDE11A,50940
5531,NA,NA,KEGG,PDE8B,8622
5531,NA,NA,KEGG,PDE1A,5136
5531,NA,NA,KEGG,PDE10A,10846
5531,NA,NA,KEGG,PDE7A,5150
5531,NA,NA,KEGG,PDE4D,5144
27072,23284-25-5,Bupranolol,KEGG,ADRB3,155
27072,23284-25-5,Bupranolol,KEGG,ADRB2,154
27072,23284-25-5,Bupranolol,KEGG,ADRB1,153
9796161,NA,NA,DrugBank,HSP90AA1,3320
92163,NA,NA,KEGG,SCN1A,6323
92163,NA,NA,KEGG,SCN5A,6331
92163,NA,NA,KEGG,SCN10A,6336
92163,NA,NA,KEGG,SCN2A,6326
92163,NA,NA,KEGG,SCN7A,6332
92163,NA,NA,KEGG,CACNA1I,8911
92163,NA,NA,KEGG,SCN3A,6328
447721,NA,NA,DrugBank,MAPK14,1432
4261,NA,NA,TTD,HDAC1,3065
71306415,NA,NA,TTD,NR3C1,2908
71306415,NA,NA,TTD,ADRB2,154
2088,66376-36-1,Alendronate,DrugBank,ATP6V1A,523
2088,66376-36-1,Alendronate,DrugBank|KEGG|TTD,FDPS,2224
2088,66376-36-1,Alendronate,DrugBank|TTD,PTPRS,5802
2088,66376-36-1,Alendronate,DrugBank,PTPN4,5775
2088,66376-36-1,Alendronate,DrugBank,PTPRE,5791
5312153,NA,NA,KEGG,PTGER2,5732
4066,29216-28-2,mequitazine,DrugBank|KEGG|TTD,HRH1,3269
156391,22204-53-1,Naproxen,KEGG|TTD,PTGS2,5743
156391,22204-53-1,Naproxen,KEGG,PTGS1,5742
5702098,NA,NA,KEGG,ADRB3,155
5702098,NA,NA,KEGG,ADRB2,154
5702098,NA,NA,KEGG,ADRB1,153
33649,NA,NA,KEGG,ABCC8,6833
689043,331-39-5,caffeic acid,DrugBank,MIF,4282
5311221,130209-82-4,Latanoprost,KEGG|TTD,PTGFR,5737
6436640,NA,NA,KEGG,DRD2,1813
6436640,NA,NA,KEGG,DRD1,1812
64749,NA,NA,KEGG,ADRA1B,147
64749,NA,NA,KEGG,ADRA1D,146
64749,NA,NA,KEGG,ADRA1A,148
46936309,NA,NA,DrugBank,PITPNA,5306
3038222,NA,NA,KEGG,ADRB1,153
72271,112953-11-4,7-hydroxystaurosporine,TTD,CHEK1,1111
65463,NA,NA,KEGG,HRH1,3269
71206,NA,NA,KEGG,NR3C1,2908
5280934,463-40-1,alpha-Linolenic Acid,DrugBank,FADS1,3992
5280934,463-40-1,alpha-Linolenic Acid,DrugBank,FADS2,9415
5280934,463-40-1,alpha-Linolenic Acid,DrugBank,ELOVL4,6785
5280934,463-40-1,alpha-Linolenic Acid,DrugBank,SLC8A1,6546
5280934,463-40-1,alpha-Linolenic Acid,DrugBank,TRPV1,7442
46937106,NA,NA,DrugBank,MMP12,4321
11963622,15078-28-1,Nitroprusside,DrugBank,NPR1,4881
165879,10485-66-2,4-nitrocatechol sulfate,DrugBank,ARSA,410
60937,NA,NA,DrugBank,ATP6V1A,523
60937,NA,NA,DrugBank,PTPN1,5770
24752832,NA,NA,DrugBank,F10,2159
192707,NA,NA,TTD,P2RY2,5029
4993,58-14-0,Pyrimethamine,DrugBank|TTD,DHFR,1719
4993,58-14-0,Pyrimethamine,TTD,PDF,64146
4474,55985-32-5,Nicardipine,KEGG,CACNA1F,778
4474,55985-32-5,Nicardipine,DrugBank,PDE1B,5153
4474,55985-32-5,Nicardipine,DrugBank,CALM1,801
4474,55985-32-5,Nicardipine,DrugBank,CHRM1,1128
4474,55985-32-5,Nicardipine,DrugBank,CALM3,808
4474,55985-32-5,Nicardipine,DrugBank,CHRM4,1132
4474,55985-32-5,Nicardipine,DrugBank,ADRA1B,147
4474,55985-32-5,Nicardipine,DrugBank,CALM2,805
4474,55985-32-5,Nicardipine,DrugBank,PDE1A,5136
4474,55985-32-5,Nicardipine,DrugBank|KEGG,CACNA1C,775
4474,55985-32-5,Nicardipine,DrugBank,ADRA1D,146
4474,55985-32-5,Nicardipine,DrugBank,CACNB2,783
4474,55985-32-5,Nicardipine,DrugBank,CHRM5,1133
4474,55985-32-5,Nicardipine,KEGG,CACNA1S,779
4474,55985-32-5,Nicardipine,DrugBank|KEGG,CACNA1D,776
4474,55985-32-5,Nicardipine,DrugBank,CHRM2,1129
4474,55985-32-5,Nicardipine,DrugBank,ADRA1A,148
4474,55985-32-5,Nicardipine,DrugBank,CHRM3,1131
4474,55985-32-5,Nicardipine,DrugBank,CACNA2D1,781
5825,NA,NA,KEGG,SLC6A3,6531
5825,NA,NA,KEGG,SLC6A4,6532
5825,NA,NA,KEGG,SLC6A2,6530
441236,NA,NA,KEGG,HRH1,3269
6918653,NA,NA,DrugBank,METAP2,10988
115260,2922-56-7,S-methyl glutathione,DrugBank,GSTM2,2946
53276,56995-20-1,flupirtine,KEGG,GRIN1,2902
53276,56995-20-1,flupirtine,KEGG,GRIN2B,2904
53276,56995-20-1,flupirtine,KEGG,GRIN2C,2905
53276,56995-20-1,flupirtine,KEGG,GRIN2D,2906
53276,56995-20-1,flupirtine,KEGG,GRIN2A,2903
53276,56995-20-1,flupirtine,DrugBank,ADRA2A,150
7419,NA,NA,DrugBank,OAT,4942
3540,84478-11-5,N-(2-(methylamino)ethyl)-5-isoquinolinesulfonamide,DrugBank,PRKACA,5566
3540,84478-11-5,N-(2-(methylamino)ethyl)-5-isoquinolinesulfonamide,DrugBank,PKIA,5569
448642,NA,NA,DrugBank,PRKACA,5566
443118,110044-82-1,acetylleucyl-leucyl-norleucinal,DrugBank,PSMA7,5688
59774,NA,NA,KEGG,HTR3B,9177
59774,NA,NA,KEGG,HTR3D,200909
59774,NA,NA,KEGG,HTR3E,285242
59774,NA,NA,KEGG,HTR3A,3359
59774,NA,NA,KEGG,HTR3C,170572
123605,NA,NA,KEGG,CHRM3,1131
10125830,NA,NA,DrugBank,CHEK1,1111
446665,NA,NA,DrugBank,PTPN1,5770
448749,NA,NA,DrugBank,PRSS1,5644
56841575,NA,NA,TTD,PPARG,5468
46937015,NA,NA,DrugBank,MVK,4598
46937015,NA,NA,DrugBank,GGPS1,9453
443936,NA,NA,DrugBank,NR3C1,2908
24794406,NA,NA,DrugBank,F10,2159
14925,NA,NA,DrugBank,ACO2,50
5281037,NA,NA,KEGG|TTD,AGTR1,185
5288711,NA,NA,DrugBank,CDK2,1017
5503,NA,NA,DrugBank,KCNJ1,3758
5503,NA,NA,TTD,KCNJ10,3766
5503,NA,NA,KEGG,ABCC8,6833
41774,56180-94-0,Acarbose,KEGG,GAA,2548
41774,56180-94-0,Acarbose,KEGG,MGAM,8972
41774,56180-94-0,Acarbose,KEGG,GANC,2595
41774,56180-94-0,Acarbose,KEGG,AMY2B,280
41774,56180-94-0,Acarbose,KEGG,AMY2A,279
5288527,NA,NA,DrugBank,CDK2,1017
9870009,NA,NA,KEGG,HTR4,3360
9870009,NA,NA,TTD,HTR3A,3359
46936648,NA,NA,DrugBank,PDE4B,5142
46936648,NA,NA,DrugBank,HINT1,3094
5311507,NA,NA,DrugBank|KEGG|TTD,DRD2,1813
5311507,NA,NA,DrugBank,DRD5,1816
5311507,NA,NA,DrugBank,ADRA1A,148
5311507,NA,NA,DrugBank,HTR2A,3356
5311507,NA,NA,DrugBank|KEGG,DRD1,1812
5311507,NA,NA,DrugBank,ADRA2A,150
5311507,NA,NA,DrugBank,HRH1,3269
24892822,NA,NA,DrugBank,AR,367
6101,NA,NA,DrugBank,LYZ,4069
6101,NA,NA,DrugBank,CTSH,1512
3446,NA,NA,DrugBank|KEGG,CACNA2D2,9254
3446,NA,NA,DrugBank,GRIN1,2902
3446,NA,NA,DrugBank,GRIN3A,116443
3446,NA,NA,KEGG,CACNA2D3,55799
3446,NA,NA,KEGG,CACNA2D4,93589
3446,NA,NA,DrugBank,GRIN2B,2904
3446,NA,NA,DrugBank,ADORA1,134
3446,NA,NA,DrugBank,GRIN2C,2905
3446,NA,NA,DrugBank,GRIN2D,2906
3446,NA,NA,DrugBank,CACNA1B,774
3446,NA,NA,DrugBank,GRIN2A,2903
3446,NA,NA,DrugBank,GRIN3B,116444
3446,NA,NA,DrugBank|KEGG,CACNA2D1,781
123982,NA,NA,DrugBank,LTA4H,4048
5327109,NA,NA,DrugBank,AKT2,208
5327109,NA,NA,DrugBank,PRKACA,5566
5327109,NA,NA,DrugBank,GSK3B,2932
5327109,NA,NA,DrugBank,PKIA,5569
2350,NA,NA,DrugBank|TTD,HRH1,3269
26644,NA,NA,DrugBank,TRIM13,10206
26644,NA,NA,DrugBank,OPRM1,4988
26644,NA,NA,DrugBank,OPRK1,4986
26644,NA,NA,DrugBank,OPRD1,4985
2479,NA,NA,DrugBank,CHRNA7,1139
2479,NA,NA,DrugBank,GABRE,2564
2479,NA,NA,DrugBank,GRIK2,2898
2479,NA,NA,DrugBank,GABRB2,2561
2479,NA,NA,DrugBank,GABRG1,2565
2479,NA,NA,DrugBank,GABRG2,2566
2479,NA,NA,DrugBank,GRIA2,2891
2479,NA,NA,DrugBank,GABRQ,55879
2479,NA,NA,DrugBank|TTD,GABRA1,2554
2479,NA,NA,DrugBank,GABRD,2563
2479,NA,NA,DrugBank,GABRB3,2562
2479,NA,NA,DrugBank,GABRA6,2559
2479,NA,NA,DrugBank,CHRNA4,1137
2479,NA,NA,DrugBank,GABRP,2568
2479,NA,NA,DrugBank,GABRA3,2556
2479,NA,NA,DrugBank,CHRFAM7A,89832
2479,NA,NA,DrugBank,GABRB1,2560
2479,NA,NA,DrugBank,GABRA2,2555
2479,NA,NA,DrugBank,GABRA5,2558
2479,NA,NA,DrugBank,GABRA4,2557
2479,NA,NA,DrugBank,GABRG3,2567
10342449,NA,NA,DrugBank,DHODH,1723
14607364,NA,NA,DrugBank,MAN2A1,4124
121586,NA,NA,KEGG,FDPS,2224
4184,24219-97-4,Mianserin,KEGG,HTR1B,3351
4184,24219-97-4,Mianserin,DrugBank|KEGG,ADRA2C,152
4184,24219-97-4,Mianserin,KEGG,HTR1E,3354
4184,24219-97-4,Mianserin,DrugBank,DRD2,1813
4184,24219-97-4,Mianserin,DrugBank|KEGG,HTR2C,3358
4184,24219-97-4,Mianserin,DrugBank,SLC6A3,6531
4184,24219-97-4,Mianserin,DrugBank|KEGG,HTR1F,3355
4184,24219-97-4,Mianserin,DrugBank,HRH4,59340
4184,24219-97-4,Mianserin,KEGG,HTR1D,3352
4184,24219-97-4,Mianserin,DrugBank|KEGG,ADRA1B,147
4184,24219-97-4,Mianserin,DrugBank,HTR7,3363
4184,24219-97-4,Mianserin,DrugBank|KEGG,HTR1A,3350
4184,24219-97-4,Mianserin,DrugBank,DRD5,1816
4184,24219-97-4,Mianserin,DrugBank,OPRK1,4986
4184,24219-97-4,Mianserin,DrugBank,SLC6A4,6532
4184,24219-97-4,Mianserin,DrugBank|KEGG,ADRA1D,146
4184,24219-97-4,Mianserin,DrugBank|KEGG,HTR2B,3357
4184,24219-97-4,Mianserin,DrugBank,HTR6,3362
4184,24219-97-4,Mianserin,DrugBank,DRD3,1814
4184,24219-97-4,Mianserin,DrugBank|KEGG,ADRA2B,151
4184,24219-97-4,Mianserin,DrugBank|KEGG,ADRA1A,148
4184,24219-97-4,Mianserin,DrugBank|KEGG,HTR2A,3356
4184,24219-97-4,Mianserin,DrugBank,SLC6A2,6530
4184,24219-97-4,Mianserin,DrugBank,DRD1,1812
4184,24219-97-4,Mianserin,DrugBank|KEGG,ADRA2A,150
4184,24219-97-4,Mianserin,DrugBank,HRH1,3269
10770,NA,NA,DrugBank|TTD,SCN5A,6331
10770,NA,NA,DrugBank,SCN10A,6336
447739,NA,NA,DrugBank,PLA2G2E,30814
3157,74191-85-8,Doxazosin,DrugBank,KCNH7,90134
3157,74191-85-8,Doxazosin,DrugBank,KCNH2,3757
3157,74191-85-8,Doxazosin,DrugBank,KCNH6,81033
3157,74191-85-8,Doxazosin,DrugBank|KEGG,ADRA1B,147
3157,74191-85-8,Doxazosin,DrugBank|KEGG|TTD,ADRA1D,146
3157,74191-85-8,Doxazosin,DrugBank|KEGG,ADRA1A,148
15942657,NA,NA,DrugBank,DHODH,1723
46936940,NA,NA,DrugBank,IL2,3558
2719,NA,NA,DrugBank,TNF,7124
2719,NA,NA,DrugBank,GSTA2,2939
2719,NA,NA,DrugBank,TLR9,54106
1935,321-64-2,Tacrine,DrugBank,BCHE,590
1935,321-64-2,Tacrine,DrugBank|KEGG|TTD,ACHE,43
101587,NA,NA,KEGG,CHRM1,1128
101587,NA,NA,KEGG,CHRM4,1132
101587,NA,NA,KEGG,CHRM5,1133
101587,NA,NA,KEGG,CHRM2,1129
101587,NA,NA,KEGG,CHRM3,1131
11314340,NA,NA,DrugBank,PRKACA,5566
11314340,NA,NA,DrugBank,PKIA,5569
16129682,NA,NA,KEGG|TTD,PTH1R,5745
46937095,NA,NA,DrugBank,PLA2G7,7941
46937095,NA,NA,DrugBank,CES1,1066
46937095,NA,NA,DrugBank,PAFAH1B3,5050
5326667,NA,NA,DrugBank,PRSS1,5644
2727,94-20-2,Chlorpropamide,TTD,KCNJ10,3766
2727,94-20-2,Chlorpropamide,DrugBank|KEGG,ABCC8,6833
4046,53230-10-7,Mefloquine,DrugBank,HBA1,3039
4046,53230-10-7,Mefloquine,DrugBank,HBA2,3040
4046,53230-10-7,Mefloquine,DrugBank,ADORA2A,135
444499,NA,NA,TTD,PNP,4860
4567,447-41-6,Nylidrin,KEGG,ADRB3,155
4567,447-41-6,Nylidrin,KEGG,ADRB2,154
4567,447-41-6,Nylidrin,KEGG,ADRB1,153
5362116,NA,NA,KEGG|TTD,ACE,1636
3025,85-79-0,Dibucaine,KEGG,SCN1A,6323
3025,85-79-0,Dibucaine,DrugBank|KEGG|TTD,SCN5A,6331
3025,85-79-0,Dibucaine,KEGG,SCN8A,6334
3025,85-79-0,Dibucaine,DrugBank,CALM1,801
3025,85-79-0,Dibucaine,DrugBank,CALM3,808
3025,85-79-0,Dibucaine,DrugBank|KEGG,SCN10A,6336
3025,85-79-0,Dibucaine,DrugBank,CALM2,805
3025,85-79-0,Dibucaine,KEGG,SCN9A,6335
3025,85-79-0,Dibucaine,KEGG,SCN4A,6329
3025,85-79-0,Dibucaine,KEGG,SCN2A,6326
3025,85-79-0,Dibucaine,KEGG,SCN3A,6328
46936438,NA,NA,DrugBank,PTPN1,5770
46936438,NA,NA,DrugBank,ESR1,2099
16058650,NA,NA,DrugBank,DPP4,1803
447732,NA,NA,DrugBank,PLAU,5328
2910,2259-96-3,cyclothiazide,DrugBank,CA4,762
2910,2259-96-3,cyclothiazide,DrugBank,CA1,759
2910,2259-96-3,cyclothiazide,DrugBank|TTD,CA2,760
2910,2259-96-3,cyclothiazide,DrugBank,FXYD2,486
5289332,NA,NA,DrugBank,CTSH,1512
4633679,NA,NA,DrugBank,MB,4151
24794392,NA,NA,DrugBank,MMP12,4321
3086401,NA,NA,KEGG,DRD2,1813
46936967,NA,NA,DrugBank,PGM1,5236
644025,NA,NA,KEGG,GRIN1,2902
644025,NA,NA,KEGG,GRIN2B,2904
644025,NA,NA,KEGG,GRIN2C,2905
644025,NA,NA,KEGG,GRIN2D,2906
644025,NA,NA,KEGG,GRIN2A,2903
11291932,NA,NA,DrugBank,PARP3,10039
448752,NA,NA,DrugBank,PRSS2,5645
448752,NA,NA,DrugBank,PRSS1,5644
3180,586-60-7,dyclonine,KEGG,SCN1A,6323
3180,586-60-7,dyclonine,KEGG|TTD,SCN5A,6331
3180,586-60-7,dyclonine,KEGG,SCN8A,6334
3180,586-60-7,dyclonine,DrugBank|KEGG,SCN10A,6336
3180,586-60-7,dyclonine,KEGG,SCN9A,6335
3180,586-60-7,dyclonine,KEGG,SCN4A,6329
3180,586-60-7,dyclonine,KEGG,SCN2A,6326
3180,586-60-7,dyclonine,KEGG,SCN3A,6328
120231,NA,NA,DrugBank,CA2,760
3506204,NA,NA,DrugBank,CHEK1,1111
167980,NA,NA,KEGG,ADRA1B,147
167980,NA,NA,KEGG,ADRA1D,146
167980,NA,NA,KEGG,ADRA1A,148
65326,NA,NA,KEGG,ADRA2C,152
65326,NA,NA,KEGG,ADRB3,155
65326,NA,NA,KEGG,ADRB2,154
65326,NA,NA,KEGG,ADRA1B,147
65326,NA,NA,KEGG,ADRA1D,146
65326,NA,NA,KEGG,ADRB1,153
65326,NA,NA,KEGG,ADRA2B,151
65326,NA,NA,KEGG,ADRA1A,148
65326,NA,NA,KEGG,ADRA2A,150
446977,NA,NA,DrugBank,CLPS,1208
446977,NA,NA,DrugBank,PNLIP,5406
48175,NA,NA,DrugBank,NR3C1,2908
48175,NA,NA,TTD,PLA2G1B,5319
16961,NA,NA,KEGG,NR3C1,2908
9826528,NA,NA,DrugBank,MAP2K1,5604
444007,NA,NA,DrugBank|TTD,CCKBR,887
24836815,NA,NA,DrugBank,GGPS1,9453
46908928,NA,NA,TTD,SLC5A2,6524
6419780,NA,NA,DrugBank,AK2,204
6419780,NA,NA,DrugBank,AK1,203
6419780,NA,NA,DrugBank,AK8,158067
44147092,NA,NA,KEGG|TTD,GLP1R,2740
24894151,NA,NA,DrugBank,NOS2,4843
23647357,NA,NA,DrugBank,CTSB,1508
70807,NA,NA,DrugBank,GNLY,10578
15130,NA,NA,DrugBank|KEGG|TTD,OPRM1,4988
15130,NA,NA,DrugBank,CHRNA3,1136
15130,NA,NA,DrugBank,CHRNB4,1143
449459,68392-35-8,afimoxifene,DrugBank,ESRRG,2104
449459,68392-35-8,afimoxifene,DrugBank,ESR2,2100
449459,68392-35-8,afimoxifene,DrugBank,ESR1,2099
6914626,NA,NA,DrugBank,REN,5972
8153,10182-91-9,dodecyltrimethylammonium,DrugBank,PTPN11,5781
6917853,NA,NA,KEGG,GABRE,2564
6917853,NA,NA,KEGG,GABRB2,2561
6917853,NA,NA,KEGG,GABRG1,2565
6917853,NA,NA,KEGG,GABRG2,2566
6917853,NA,NA,KEGG,GABRQ,55879
6917853,NA,NA,KEGG,GABRA1,2554
6917853,NA,NA,KEGG,GABRD,2563
6917853,NA,NA,KEGG,GABRB3,2562
6917853,NA,NA,KEGG,GABRA6,2559
6917853,NA,NA,KEGG,GABRP,2568
6917853,NA,NA,KEGG,GABRA3,2556
6917853,NA,NA,KEGG,GABRB1,2560
6917853,NA,NA,KEGG,GABRA2,2555
6917853,NA,NA,KEGG,GABRA5,2558
6917853,NA,NA,KEGG,GABRA4,2557
6917853,NA,NA,KEGG,GABRG3,2567
42611257,NA,NA,KEGG|TTD,BRAF,673
3086415,NA,NA,KEGG,TOP2B,7155
3086415,NA,NA,KEGG,TOP2A,7153
208898,NA,NA,DrugBank,SCN1A,6323
208898,NA,NA,DrugBank,ADRA2C,152
208898,NA,NA,DrugBank|KEGG,CACNA1F,778
208898,NA,NA,TTD,KCNA5,3741
208898,NA,NA,KEGG,KCND3,3752
208898,NA,NA,KEGG,KCNQ1,3784
208898,NA,NA,DrugBank|KEGG,KCNH2,3757
